City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,mount isa,-20.7333,139.5,23.87,94,40,3.6,AU,1709154422
370,atambua,-9.1061,124.8925,23.81,88,99,0.37,ID,1709154423
371,tanumah,27.1,44.1333,11.69,31,0,5.6,SA,1709154423
372,kailua-kona,19.6406,-155.9956,27.5,72,40,5.14,US,1709154423
373,arkhangel'sk,64.5401,40.5433,0.06,100,75,1.0,RU,1709154356
374,pemangkat,1.1667,108.9667,25.49,91,100,3.36,ID,1709154423
375,chinde,26.8418,88.0763,9.93,45,0,2.35,NP,1709154424
376,fort st. john,56.2499,-120.8529,-10.43,79,100,1.77,CA,1709154424
377,puerto colombia,10.9878,-74.9547,31.05,74,1,10.84,CO,1709154424
378,kalna,23.2167,88.3667,23.15,39,88,0.9,IN,1709154424
379,troitsk,54.0979,61.5773,-15.21,93,36,1.85,RU,1709154424
380,darab,28.7519,54.5444,7.95,86,93,0.88,IR,1709154425
381,zhangjiakou,40.81,114.8794,-10.4,52,22,4.32,CN,1709154425
382,antsiranana,-12.2787,49.2917,25.32,91,100,1.1,MG,1709154425
383,plastun,44.7561,136.2939,-5.95,84,98,1.57,RU,1709154426
384,turbat,26.0023,63.044,20.97,72,100,2.56,PK,1709154426
385,bhiwadi,28.2102,76.8606,15.74,45,0,2.99,IN,1709154426
386,bubaque,11.2833,-15.8333,25.86,69,4,9.21,GW,1709154426
387,akureyri,65.6835,-18.0878,-9.94,82,100,1.49,IS,1709154426
388,mae hong son,19.3003,97.9685,18.1,51,0,0.86,TH,1709154427
389,dzhambeyty,50.2536,52.595,-13.44,95,24,1.97,KZ,1709154427
390,guerrero negro,27.9769,-114.0611,20.05,56,4,5.8,MX,1709154427
391,haiku-pauwela,20.9219,-156.3051,24.59,68,20,8.75,US,1709154428
392,puerto baquerizo moreno,-0.9,-89.6,30.55,70,40,7.72,EC,1709154190
393,funafuti,-8.5243,179.1942,32.0,79,20,2.06,TV,1709154428
394,ha dong,20.9725,105.7772,13.01,81,100,2.0,VN,1709154429
395,koryazhma,61.3143,47.1691,-3.38,97,99,2.44,RU,1709154429
